day,month,year,opening_value,close_value,min_value,max_value,volume
15,6,2018,21.830,21.870,21.630,21.960,5239025
14,6,2018,21.230,21.790,21.210,21.900,1476765
13,6,2018,21.250,21.320,21.130,21.380,1187090
12,6,2018,21.130,21.250,21.070,21.280,997480
11,6,2018,21.220,21.090,20.900,21.240,1110578
8,6,2018,21.380,21.010,20.950,21.410,1406969
7,6,2018,21.310,21.450,21.270,21.450,866772
6,6,2018,21.280,21.230,21.180,21.420,825253
5,6,2018,21.220,21.230,21.020,21.490,1480100
4,6,2018,21.050,21.440,20.990,21.650,993658
1,6,2018,20.830,20.960,20.750,21.040,1371584
31,5,2018,21.040,20.990,20.810,21.070,2472566
30,5,2018,20.860,21.000,20.850,21.140,1609346
29,5,2018,21.160,20.950,20.710,21.160,1243684
28,5,2018,21.240,21.250,21.220,21.440,800811
25,5,2018,21.920,21.150,20.910,22.060,1669672
24,5,2018,21.980,21.870,21.850,22.140,1444451
23,5,2018,22.000,22.020,21.860,22.050,1831799
22,5,2018,22.160,22.020,21.710,22.400,1316884
21,5,2018,22.490,22.220,22.220,22.590,1014499
18,5,2018,22.270,22.410,22.220,22.480,1972674
17,5,2018,22.000,22.220,21.950,22.300,1527997
16,5,2018,21.910,21.990,21.780,21.990,1189891
15,5,2018,21.850,21.900,21.820,21.990,898258
14,5,2018,21.810,21.850,21.700,21.880,1015366
11,5,2018,21.490,21.820,21.480,21.820,965836
10,5,2018,21.450,21.540,21.360,21.550,688590
9,5,2018,21.340,21.470,21.130,21.500,982013
8,5,2018,21.200,21.310,21.130,21.400,568336
7,5,2018,21.170,21.210,21.100,21.280,424614
4,5,2018,21.170,21.150,21.130,21.350,835986
3,5,2018,21.240,21.140,21.110,21.330,117738
2,5,2018,20.880,21.140,20.880,21.140,137889
30,4,2018,20.900,20.850,20.730,21.050,384790
27,4,2018,20.900,20.960,20.600,20.960,947858
26,4,2018,20.600,20.890,20.410,20.890,1033894
25,4,2018,20.600,20.710,20.530,20.720,688552
24,4,2018,20.420,20.720,20.420,20.720,935853
23,4,2018,20.680,20.380,20.310,20.700,696983
20,4,2018,20.400,20.670,20.320,20.740,926134
19,4,2018,20.200,20.320,20.190,20.370,599126
18,4,2018,20.170,20.230,20.120,20.310,694844
17,4,2018,20.140,20.150,20.030,20.240,726670
16,4,2018,19.930,20.120,19.930,20.120,753070
13,4,2018,19.865,20.050,19.865,20.090,739426
12,4,2018,20.000,19.885,19.850,20.110,729383
11,4,2018,19.695,19.950,19.695,19.985,1194825
10,4,2018,19.870,19.750,19.680,19.870,863899
9,4,2018,19.750,19.770,19.670,19.860,671891
6,4,2018,19.660,19.670,19.570,19.725,811487
5,4,2018,19.625,19.690,19.545,19.690,916967
4,4,2018,19.480,19.480,19.340,19.560,722276
3,4,2018,19.245,19.480,19.210,19.500,985429
29,3,2018,19.700,19.390,19.390,19.700,1341014
28,3,2018,19.055,19.670,19.000,19.670,1768940
27,3,2018,19.000,19.100,18.840,19.130,837603
26,3,2018,18.835,18.830,18.685,18.845,841715
23,3,2018,18.690,18.700,18.560,18.750,1102932
