day,month,year,opening_value,close_value,min_value,max_value,volume
11,5,2018,0.882,0.881,0.880,0.882,0
10,5,2018,0.875,0.875,0.874,0.876,0
9,5,2018,0.876,0.875,0.873,0.877,0
8,5,2018,0.879,0.878,0.877,0.881,0
7,5,2018,0.884,0.880,0.878,0.884,0
4,5,2018,0.883,0.884,0.881,0.885,0
3,5,2018,0.881,0.883,0.880,0.884,0
2,5,2018,0.881,0.880,0.879,0.883,0
1,5,2018,0.877,0.882,0.876,0.882,0
30,4,2018,0.880,0.877,0.876,0.883,0
27,4,2018,0.870,0.880,0.868,0.881,0
26,4,2018,0.873,0.870,0.868,0.875,0
25,4,2018,0.875,0.873,0.873,0.875,0
24,4,2018,0.876,0.875,0.874,0.877,0
23,4,2018,0.877,0.876,0.874,0.878,0
20,4,2018,0.876,0.877,0.873,0.879,0
19,4,2018,0.871,0.877,0.869,0.877,0
18,4,2018,0.866,0.871,0.864,0.872,0
17,4,2018,0.864,0.866,0.862,0.866,0
1,1,2018,0.889,0.889,0.887,0.891,0
29,12,2017,0.889,0.887,0.886,0.889,0
28,12,2017,0.888,0.889,0.887,0.889,0
27,12,2017,0.887,0.888,0.885,0.889,0
26,12,2017,0.888,0.887,0.886,0.889,0
25,12,2017,0.886,0.888,0.884,0.891,0
22,12,2017,0.887,0.888,0.884,0.889,0
21,12,2017,0.888,0.887,0.886,0.889,0
20,12,2017,0.884,0.888,0.882,0.888,0
19,12,2017,0.880,0.885,0.880,0.887,0
18,12,2017,0.882,0.881,0.879,0.884,0
15,12,2017,0.876,0.882,0.876,0.886,0
14,12,2017,0.882,0.876,0.876,0.883,0
13,12,2017,0.881,0.881,0.878,0.885,0
12,12,2017,0.883,0.882,0.879,0.885,0
11,12,2017,0.879,0.882,0.877,0.885,0
8,12,2017,0.874,0.880,0.869,0.881,0
7,12,2017,0.882,0.874,0.873,0.885,0
6,12,2017,0.881,0.882,0.880,0.885,0
5,12,2017,0.880,0.881,0.878,0.887,0
4,12,2017,0.880,0.881,0.876,0.883,0
2,12,2017,0.883,0.883,0.883,0.883,0
1,12,2017,0.880,0.883,0.879,0.884,0
30,11,2017,0.883,0.880,0.878,0.884,0
29,11,2017,0.887,0.883,0.882,0.888,0
28,11,2017,0.893,0.887,0.885,0.898,0
27,11,2017,0.895,0.893,0.892,0.897,0
24,11,2017,0.890,0.895,0.889,0.896,0
23,11,2017,0.887,0.890,0.887,0.891,0
22,11,2017,0.886,0.887,0.885,0.889,0
21,11,2017,0.886,0.886,0.884,0.889,0
20,11,2017,0.890,0.887,0.886,0.891,0
18,11,2017,0.892,0.892,0.892,0.892,0
17,11,2017,0.892,0.892,0.890,0.895,0
16,11,2017,0.894,0.892,0.891,0.897,0
15,11,2017,0.897,0.894,0.893,0.901,0
14,11,2017,0.890,0.896,0.889,0.898,0
13,11,2017,0.885,0.890,0.885,0.892,0
10,11,2017,0.886,0.884,0.881,0.887,0
9,11,2017,0.884,0.886,0.882,0.888,0
9,10,2017,0.897,0.894,0.891,0.898,0
6,10,2017,0.893,0.898,0.893,0.899,0
5,10,2017,0.888,0.893,0.888,0.893,0
4,10,2017,0.887,0.888,0.885,0.888,0
3,10,2017,0.884,0.888,0.882,0.888,0
2,10,2017,0.882,0.884,0.880,0.887,0
29,9,2017,0.877,0.882,0.877,0.884,0
28,9,2017,0.877,0.877,0.876,0.881,0
27,9,2017,0.876,0.878,0.875,0.880,0
26,9,2017,0.880,0.876,0.875,0.880,0
25,9,2017,0.884,0.880,0.878,0.884,0
22,9,2017,0.879,0.883,0.879,0.888,0
21,9,2017,0.881,0.879,0.878,0.884,0
20,9,2017,0.888,0.882,0.880,0.889,0
19,9,2017,0.886,0.887,0.884,0.890,0
18,9,2017,0.879,0.886,0.878,0.886,0
15,9,2017,0.889,0.879,0.877,0.891,0
14,9,2017,0.900,0.889,0.887,0.904,0
13,9,2017,0.900,0.900,0.898,0.904,0
12,9,2017,0.908,0.901,0.898,0.908,0
11,9,2017,0.911,0.908,0.908,0.912,0
8,9,2017,0.918,0.911,0.911,0.920,0
7,9,2017,0.914,0.918,0.912,0.920,0
6,9,2017,0.914,0.914,0.912,0.917,0
5,9,2017,0.920,0.914,0.913,0.922,0
4,9,2017,0.917,0.920,0.916,0.923,0
1,9,2017,0.922,0.916,0.915,0.922,0
31,8,2017,0.920,0.921,0.919,0.924,0
30,8,2017,0.926,0.920,0.920,0.927,0
29,8,2017,0.926,0.927,0.925,0.931,0
28,8,2017,0.925,0.926,0.923,0.927,0
25,8,2017,0.922,0.926,0.920,0.927,0
24,8,2017,0.922,0.922,0.919,0.924,0
23,8,2017,0.918,0.923,0.916,0.924,0
22,8,2017,0.916,0.918,0.915,0.918,0
21,8,2017,0.913,0.916,0.911,0.916,0
18,8,2017,0.911,0.913,0.909,0.915,0
17,8,2017,0.913,0.911,0.906,0.914,0
16,8,2017,0.912,0.913,0.908,0.915,0
15,8,2017,0.909,0.912,0.905,0.913,0
14,8,2017,0.909,0.909,0.907,0.910,0
11,8,2017,0.907,0.909,0.905,0.912,0
10,8,2017,0.904,0.907,0.901,0.908,0
9,8,2017,0.904,0.904,0.901,0.906,0
8,8,2017,0.905,0.904,0.904,0.909,0
7,8,2017,0.903,0.905,0.903,0.906,0
4,8,2017,0.904,0.903,0.900,0.906,0
3,8,2017,0.897,0.904,0.892,0.905,0
2,8,2017,0.894,0.896,0.894,0.899,0
1,8,2017,0.896,0.893,0.892,0.896,0
31,7,2017,0.895,0.897,0.893,0.898,0
28,7,2017,0.894,0.894,0.893,0.897,0
27,7,2017,0.895,0.894,0.889,0.896,0
26,7,2017,0.894,0.894,0.890,0.895,0
25,7,2017,0.894,0.894,0.893,0.896,0
24,7,2017,0.898,0.893,0.892,0.898,0
21,7,2017,0.897,0.898,0.894,0.900,0
20,7,2017,0.884,0.897,0.883,0.898,0
19,7,2017,0.886,0.884,0.883,0.886,0
18,7,2017,0.879,0.886,0.878,0.890,0
17,7,2017,0.875,0.879,0.874,0.880,0
14,7,2017,0.881,0.875,0.874,0.882,0
13,7,2017,0.885,0.881,0.880,0.888,0
12,7,2017,0.892,0.886,0.884,0.895,0
11,7,2017,0.885,0.892,0.881,0.893,0
10,7,2017,0.885,0.885,0.883,0.886,0
7,7,2017,0.881,0.885,0.880,0.886,0
6,7,2017,0.878,0.880,0.876,0.882,0
5,7,2017,0.878,0.878,0.876,0.881,0
4,7,2017,0.878,0.878,0.876,0.879,0
3,7,2017,0.877,0.878,0.876,0.879,0
30,6,2017,0.880,0.877,0.876,0.882,0
29,6,2017,0.880,0.880,0.878,0.881,0
28,6,2017,0.885,0.880,0.877,0.888,0
27,6,2017,0.879,0.884,0.878,0.886,0
26,6,2017,0.879,0.879,0.877,0.881,0
23,6,2017,0.880,0.880,0.876,0.881,0
22,6,2017,0.881,0.879,0.879,0.883,0
21,6,2017,0.882,0.881,0.877,0.885,0
20,6,2017,0.875,0.882,0.874,0.884,0
19,6,2017,0.877,0.876,0.873,0.878,0
16,6,2017,0.874,0.876,0.872,0.877,0
15,6,2017,0.880,0.873,0.872,0.881,0
