day,month,year,opening_value,close_value,min_value,max_value,volume
15,6,2018,6.666,6.712,6.612,6.742,38699920
14,6,2018,6.470,6.660,6.458,6.660,16860990
13,6,2018,6.504,6.504,6.470,6.546,13318250
12,6,2018,6.522,6.528,6.480,6.564,10454130
11,6,2018,6.416,6.504,6.410,6.510,13873120
8,6,2018,6.392,6.354,6.342,6.400,11098980
7,6,2018,6.382,6.412,6.376,6.440,10917520
6,6,2018,6.328,6.362,6.310,6.388,15213830
5,6,2018,6.348,6.328,6.328,6.406,14394590
4,6,2018,6.288,6.354,6.242,6.396,17037190
1,6,2018,6.108,6.170,6.092,6.196,19887890
31,5,2018,6.198,6.072,6.054,6.200,37898030
30,5,2018,6.148,6.174,6.102,6.206,33170330
29,5,2018,6.200,6.160,6.076,6.212,24702200
28,5,2018,6.338,6.250,6.238,6.402,10463390
25,5,2018,6.492,6.304,6.210,6.534,28777980
24,5,2018,6.476,6.456,6.456,6.540,16975130
23,5,2018,6.502,6.486,6.434,6.504,16963560
22,5,2018,6.556,6.550,6.524,6.570,11987740
21,5,2018,6.600,6.538,6.526,6.606,14752890
18,5,2018,6.572,6.604,6.546,6.608,24385000
17,5,2018,6.512,6.564,6.500,6.572,11818680
16,5,2018,6.550,6.508,6.466,6.566,14837550
15,5,2018,6.524,6.554,6.496,6.562,10990540
14,5,2018,6.530,6.528,6.500,6.562,11823210
11,5,2018,6.510,6.512,6.482,6.550,8108405
10,5,2018,6.550,6.518,6.492,6.558,8955678
9,5,2018,6.518,6.538,6.460,6.550,10322960
8,5,2018,6.582,6.544,6.528,6.598,3968061
7,5,2018,6.586,6.570,6.550,6.594,5967490
4,5,2018,6.542,6.570,6.502,6.570,10350880
3,5,2018,6.520,6.534,6.504,6.544,1441780
2,5,2018,6.406,6.522,6.400,6.528,2237146
30,4,2018,6.374,6.430,6.364,6.444,2915250
27,4,2018,6.364,6.370,6.344,6.406,11080270
26,4,2018,6.338,6.350,6.320,6.386,13555180
25,4,2018,6.316,6.314,6.274,6.356,17175240
24,4,2018,6.240,6.300,6.230,6.354,10722730
23,4,2018,6.284,6.266,6.224,6.294,8675972
20,4,2018,6.270,6.276,6.222,6.296,12895320
19,4,2018,6.300,6.252,6.228,6.324,11529060
18,4,2018,6.270,6.298,6.244,6.314,10586680
17,4,2018,6.220,6.268,6.202,6.290,11147720
16,4,2018,6.242,6.216,6.188,6.242,8560684
13,4,2018,6.168,6.254,6.144,6.268,14925400
12,4,2018,6.148,6.154,6.116,6.186,9037779
11,4,2018,6.034,6.134,6.034,6.160,15650110
10,4,2018,6.068,6.028,5.976,6.070,11779090
9,4,2018,6.040,6.040,6.022,6.088,6619055
6,4,2018,5.980,6.010,5.966,6.040,7107993
5,4,2018,6.000,5.980,5.954,6.000,14755980
4,4,2018,5.978,5.930,5.908,5.992,10438330
3,4,2018,5.940,5.956,5.920,6.000,8845869
29,3,2018,6.078,5.972,5.972,6.078,14563370
28,3,2018,5.800,6.044,5.776,6.044,17987550
27,3,2018,5.842,5.830,5.770,5.850,11839190
26,3,2018,5.788,5.772,5.748,5.824,12437110
23,3,2018,5.750,5.764,5.712,5.794,20493220
22,3,2018,5.860,5.794,5.762,5.938,18702280
21,3,2018,5.922,5.900,5.858,5.958,16613890
20,3,2018,5.940,5.920,5.908,5.970,11260330
19,3,2018,6.000,5.952,5.942,6.004,14868040
16,3,2018,6.016,6.000,6.000,6.038,33743840
15,3,2018,6.010,6.036,5.984,6.058,18222850
14,3,2018,6.024,6.004,5.976,6.050,10603130
13,3,2018,6.058,6.014,6.004,6.096,16765450
12,3,2018,6.116,6.058,6.050,6.160,9799751
9,3,2018,6.062,6.052,5.992,6.114,11861170
8,3,2018,6.010,6.064,5.958,6.084,11027280
7,3,2018,5.960,5.988,5.932,6.020,11981930
6,3,2018,6.098,5.994,5.956,6.100,13922810
5,3,2018,5.900,6.044,5.892,6.060,12343600
2,3,2018,6.014,5.928,5.920,6.046,17958120
1,3,2018,6.052,6.056,6.022,6.132,14129060
28,2,2018,6.122,6.076,6.076,6.168,16986900
27,2,2018,6.160,6.168,6.130,6.200,14016250
26,2,2018,6.140,6.170,6.094,6.178,12582350
23,2,2018,5.962,6.104,5.928,6.106,21773930
22,2,2018,5.900,5.998,5.880,6.012,18966210
21,2,2018,6.122,5.898,5.872,6.144,38136800
20,2,2018,6.084,6.150,6.084,6.166,15219870
19,2,2018,6.138,6.106,6.080,6.158,10536820
16,2,2018,6.080,6.122,6.070,6.142,16220090
15,2,2018,6.072,6.046,5.962,6.084,12896860
14,2,2018,6.032,6.038,5.982,6.090,14462380
13,2,2018,6.094,5.994,5.994,6.100,13052410
12,2,2018,6.020,6.086,5.994,6.096,16133830
9,2,2018,6.046,5.978,5.954,6.088,21336620
8,2,2018,6.138,6.090,6.076,6.168,17034350
7,2,2018,6.144,6.198,6.086,6.198,18274040
6,2,2018,6.102,6.086,5.996,6.252,18915860
5,2,2018,6.364,6.308,6.324,6.470,14924940
2,2,2018,6.494,6.402,6.384,6.494,13543800
1,2,2018,6.574,6.506,6.488,6.668,15635760
31,1,2018,6.550,6.558,6.516,6.572,14136450
30,1,2018,6.584,6.550,6.520,6.612,12949110
29,1,2018,6.668,6.618,6.588,6.668,12154060
26,1,2018,6.770,6.690,6.690,6.772,9170349
25,1,2018,6.770,6.724,6.682,6.796,15177400
24,1,2018,6.694,6.754,6.694,6.764,14082650
23,1,2018,6.720,6.732,6.688,6.766,13245700
22,1,2018,6.692,6.684,6.666,6.716,9688790
19,1,2018,6.636,6.678,6.594,6.712,12553820
18,1,2018,6.726,6.650,6.608,6.726,12963230
17,1,2018,6.694,6.706,6.646,6.716,12595750
16,1,2018,6.600,6.700,6.590,6.750,21299720
15,1,2018,6.540,6.566,6.534,6.596,10262330
12,1,2018,6.486,6.530,6.484,6.546,12647440
11,1,2018,6.458,6.480,6.420,6.506,22088960
10,1,2018,6.584,6.532,6.508,6.608,15506900
9,1,2018,6.690,6.604,6.580,6.708,11613900
8,1,2018,6.750,6.680,6.680,6.770,11173150
5,1,2018,6.670,6.738,6.620,6.750,11818980
4,1,2018,6.442,6.662,6.438,6.662,16893310
3,1,2018,6.416,6.442,6.394,6.442,14810990
2,1,2018,6.501,6.403,6.403,6.509,13245530
29,12,2017,6.466,6.460,6.455,6.498,10611890
28,12,2017,6.513,6.455,6.455,6.519,7526151
27,12,2017,6.500,6.512,6.473,6.561,7489592
22,12,2017,6.500,6.518,6.485,6.579,8576468
21,12,2017,6.589,6.584,6.497,6.595,9201317
20,12,2017,6.552,6.580,6.465,6.594,10747510
19,12,2017,6.660,6.532,6.530,6.668,10087710
18,12,2017,6.615,6.642,6.598,6.676,14969160
15,12,2017,6.529,6.581,6.512,6.635,28038270
14,12,2017,6.620,6.518,6.518,6.661,14788050
13,12,2017,6.678,6.628,6.621,6.728,13786280
12,12,2017,6.745,6.720,6.672,6.748,12402870
11,12,2017,6.723,6.714,6.653,6.727,7165625
8,12,2017,6.753,6.717,6.693,6.765,7657797
7,12,2017,6.707,6.749,6.670,6.749,8691566
6,12,2017,6.605,6.710,6.582,6.726,10139670
5,12,2017,6.620,6.636,6.608,6.669,9664067
4,12,2017,6.596,6.628,6.532,6.637,10862100
1,12,2017,6.674,6.576,6.571,6.707,11120100
30,11,2017,6.696,6.672,6.638,6.735,25584880
29,11,2017,6.624,6.675,6.613,6.712,12560720
28,11,2017,6.551,6.594,6.523,6.622,9466942
27,11,2017,6.422,6.539,6.419,6.568,12760740
24,11,2017,6.478,6.431,6.428,6.509,7977944
23,11,2017,6.429,6.477,6.429,6.517,8385213
22,11,2017,6.460,6.460,6.436,6.535,10933030
21,11,2017,6.436,6.448,6.428,6.517,11147180
20,11,2017,6.491,6.460,6.450,6.516,7964593
17,11,2017,6.550,6.470,6.457,6.582,16072810
16,11,2017,6.583,6.544,6.537,6.670,12985070
15,11,2017,6.450,6.537,6.443,6.569,12704180
14,11,2017,6.541,6.496,6.496,6.589,13810680
13,11,2017,6.609,6.560,6.488,6.629,11258290
10,11,2017,6.649,6.596,6.572,6.660,13505580
9,11,2017,6.754,6.665,6.637,6.767,13061420
8,11,2017,6.778,6.746,6.662,6.798,14186940
7,11,2017,6.870,6.765,6.711,6.877,16136110
6,11,2017,6.851,6.879,6.802,6.900,10287500
3,11,2017,6.896,6.859,6.783,6.900,10954460
2,11,2017,6.921,6.896,6.886,6.941,11197690
1,11,2017,6.981,6.914,6.894,6.984,12186830
31,10,2017,6.900,6.938,6.844,6.962,13141190
30,10,2017,6.717,6.859,6.711,6.899,18139310
27,10,2017,6.733,6.680,6.658,6.839,16290790
26,10,2017,6.597,6.739,6.523,6.740,21400570
25,10,2017,6.663,6.578,6.565,6.678,14335880
24,10,2017,6.736,6.714,6.693,6.775,9390853
23,10,2017,6.670,6.750,6.667,6.765,10425550
20,10,2017,6.689,6.700,6.662,6.724,11818970
19,10,2017,6.681,6.695,6.623,6.710,5381454
18,10,2017,6.666,6.666,6.658,6.726,5652407
17,10,2017,6.667,6.716,6.646,6.763,4631785
16,10,2017,6.754,6.688,6.667,6.767,4079856
13,10,2017,6.772,6.772,6.733,6.799,8817014
12,10,2017,6.745,6.748,6.733,6.766,1833982
11,10,2017,6.673,6.758,6.654,6.764,10937980
10,10,2017,6.592,6.596,6.551,6.620,6520629
9,10,2017,6.593,6.593,6.457,6.600,19363450
6,10,2017,6.460,6.460,6.387,6.483,7787441
5,10,2017,6.448,6.448,6.271,6.499,17454880
4,10,2017,6.253,6.253,6.253,6.440,16478980
3,10,2017,6.471,6.471,6.397,6.509,13847960
2,10,2017,6.556,6.556,6.473,6.559,13133510
29,9,2017,6.572,6.572,6.468,6.572,18681720
28,9,2017,6.510,6.510,6.503,6.611,9437516
27,9,2017,6.600,6.600,6.597,6.639,11241050
26,9,2017,6.633,6.633,6.613,6.655,6165932
25,9,2017,6.649,6.649,6.563,6.649,6528957
22,9,2017,6.627,6.627,6.619,6.674,6432229
21,9,2017,6.672,6.672,6.632,6.703,9107695
20,9,2017,6.712,6.713,6.701,6.780,5236874
19,9,2017,6.750,6.750,6.670,6.764,6374878
18,9,2017,6.730,6.730,6.708,6.798,12132010
15,9,2017,6.749,6.749,6.695,6.797,29090310
14,9,2017,6.750,6.750,6.695,6.842,11131330
13,9,2017,6.870,6.870,6.834,6.897,9899029
12,9,2017,6.886,6.886,6.873,6.984,6375267
11,9,2017,6.929,6.929,6.912,6.975,9354649
8,9,2017,6.890,6.890,6.815,6.917,8055666
7,9,2017,6.910,6.910,6.875,6.946,12238000
6,9,2017,6.850,6.850,6.779,6.877,7771648
5,9,2017,6.862,6.862,6.770,6.881,7090890
4,9,2017,6.834,6.834,6.813,6.878,2377229
1,9,2017,6.870,6.870,6.867,6.915,4373447
31,8,2017,6.861,6.861,6.840,6.882,22106930
30,8,2017,6.900,6.857,6.826,6.900,3316855
29,8,2017,6.869,6.869,6.805,6.896,7753363
28,8,2017,6.910,6.910,6.893,6.953,3595196
25,8,2017,6.940,6.940,6.891,6.960,5147585
24,8,2017,6.926,6.926,6.917,6.974,5832781
23,8,2017,6.941,6.941,6.899,6.993,2909483
22,8,2017,6.981,6.981,6.943,7.000,3349786
21,8,2017,6.966,6.966,6.933,6.995,4463839
18,8,2017,7.010,7.010,6.943,7.010,12728720
17,8,2017,7.014,7.014,6.947,7.021,9105232
16,8,2017,6.970,6.970,6.928,6.970,6152127
15,8,2017,6.923,6.923,6.885,6.945,3608325
14,8,2017,6.866,6.866,6.703,6.873,8810397
11,8,2017,6.704,6.704,6.675,6.773,10268510
10,8,2017,6.756,6.756,6.733,6.850,11017640
9,8,2017,6.874,6.846,6.786,6.879,4949872
8,8,2017,6.890,6.890,6.855,6.917,7780496
7,8,2017,6.843,6.843,6.812,6.874,4287506
4,8,2017,6.849,6.849,6.750,6.907,5851649
3,8,2017,6.779,6.779,6.717,6.804,6005917
2,8,2017,6.760,6.760,6.730,6.819,7402967
1,8,2017,6.757,6.757,6.673,6.789,9998083
31,7,2017,6.664,6.664,6.627,6.730,11112810
28,7,2017,6.652,6.652,6.616,6.700,9134804
27,7,2017,6.719,6.719,6.675,6.760,8826369
26,7,2017,6.697,6.697,6.690,6.769,8180399
25,7,2017,6.688,6.688,6.688,6.813,12196730
24,7,2017,6.705,6.705,6.643,6.784,14636840
21,7,2017,6.810,6.785,6.744,6.884,12435720
20,7,2017,6.874,6.874,6.850,7.015,30390190
19,7,2017,7.022,7.022,6.946,7.030,12924720
18,7,2017,6.905,6.905,6.905,7.000,11476220
17,7,2017,6.910,6.910,6.870,6.912,7497363
14,7,2017,0.000,6.890,6.890,6.890,0
13,7,2017,6.895,6.880,6.840,6.895,11509190
12,7,2017,6.715,6.875,6.693,6.885,21255610
11,7,2017,6.743,6.680,6.671,6.760,17243820
10,7,2017,6.697,6.724,6.677,6.758,15233090
7,7,2017,6.654,6.675,6.637,6.690,12576020
6,7,2017,6.738,6.681,6.637,6.746,19380150
5,7,2017,6.753,6.745,6.730,6.779,15251580
4,7,2017,6.924,6.920,6.877,6.929,9201428
3,7,2017,6.956,6.936,6.902,6.982,10789820
30,6,2017,6.949,6.933,6.907,7.038,20831990
29,6,2017,7.058,6.961,6.931,7.067,29579140
28,6,2017,7.000,7.040,6.924,7.105,21840390
27,6,2017,7.170,7.028,7.028,7.193,20470780
26,6,2017,7.077,7.206,7.050,7.206,14098700
23,6,2017,7.098,7.070,7.025,7.124,11156630
22,6,2017,7.181,7.129,7.099,7.185,10049770
21,6,2017,7.137,7.200,7.085,7.238,9403073
20,6,2017,7.170,7.161,7.161,7.212,10323190
19,6,2017,7.235,7.169,7.168,7.245,8331375
16,6,2017,7.094,7.180,7.078,7.180,28017690
15,6,2017,7.048,7.056,6.963,7.067,19051930
14,6,2017,7.045,7.070,7.045,7.116,13085910
13,6,2017,7.146,7.030,7.030,7.146,15272230
12,6,2017,7.123,7.017,7.000,7.130,15488510
9,6,2017,7.200,7.150,7.111,7.235,12222810
8,6,2017,7.243,7.187,7.101,7.269,12623350
7,6,2017,7.225,7.192,7.163,7.298,14443330
