day,month,year,opening_value,close_value,min_value,max_value,volume
11,5,2018,1.192,1.193,1.189,1.194,0
10,5,2018,1.185,1.186,1.184,1.188,0
9,5,2018,1.186,1.186,1.182,1.190,0
8,5,2018,1.192,1.186,1.184,1.194,0
7,5,2018,1.196,1.192,1.190,1.198,0
4,5,2018,1.199,1.196,1.191,1.200,0
3,5,2018,1.196,1.199,1.195,1.201,0
2,5,2018,1.199,1.200,1.199,1.203,0
1,5,2018,1.208,1.201,1.198,1.208,0
30,4,2018,1.213,1.208,1.207,1.214,0
27,4,2018,1.211,1.213,1.206,1.213,0
26,4,2018,1.216,1.210,1.210,1.221,0
25,4,2018,1.223,1.216,1.216,1.224,0
24,4,2018,1.221,1.223,1.218,1.225,0
23,4,2018,1.228,1.221,1.220,1.229,0
20,4,2018,1.235,1.229,1.225,1.235,0
19,4,2018,1.238,1.235,1.233,1.240,0
18,4,2018,1.237,1.238,1.234,1.240,0
17,4,2018,1.238,1.237,1.234,1.241,0
1,1,2018,1.200,1.202,1.199,1.202,0
29,12,2017,1.194,1.201,1.194,1.203,0
28,12,2017,1.190,1.194,1.190,1.196,0
27,12,2017,1.186,1.190,1.185,1.191,0
26,12,2017,1.187,1.186,1.185,1.188,0
25,12,2017,1.188,1.187,1.164,1.190,0
22,12,2017,1.187,1.186,1.182,1.187,0
21,12,2017,1.187,1.187,1.185,1.189,0
20,12,2017,1.184,1.187,1.183,1.190,0
19,12,2017,1.178,1.184,1.178,1.185,0
18,12,2017,1.175,1.178,1.174,1.183,0
15,12,2017,1.177,1.175,1.175,1.181,0
14,12,2017,1.182,1.177,1.177,1.186,0
13,12,2017,1.174,1.182,1.173,1.183,0
12,12,2017,1.177,1.174,1.172,1.179,0
11,12,2017,1.177,1.177,1.176,1.181,0
8,12,2017,1.178,1.177,1.173,1.178,0
7,12,2017,1.180,1.178,1.177,1.181,0
6,12,2017,1.183,1.180,1.178,1.185,0
5,12,2017,1.187,1.183,1.180,1.188,0
4,12,2017,1.187,1.187,1.183,1.188,0
2,12,2017,1.190,1.190,1.190,1.190,0
1,12,2017,1.189,1.190,1.185,1.194,0
30,11,2017,1.185,1.189,1.181,1.193,0
29,11,2017,1.185,1.185,1.182,1.188,0
28,11,2017,1.190,1.185,1.183,1.192,0
27,11,2017,1.193,1.190,1.189,1.196,0
24,11,2017,1.185,1.193,1.184,1.194,0
23,11,2017,1.182,1.185,1.181,1.186,0
22,11,2017,1.173,1.182,1.173,1.183,0
21,11,2017,1.173,1.173,1.171,1.176,0
20,11,2017,1.176,1.173,1.172,1.181,0
18,11,2017,1.179,1.179,1.179,1.179,0
17,11,2017,1.177,1.179,1.177,1.182,0
16,11,2017,1.177,1.177,1.176,1.180,0
15,11,2017,1.180,1.177,1.177,1.186,0
14,11,2017,1.167,1.180,1.166,1.181,0
13,11,2017,1.166,1.167,1.164,1.168,0
10,11,2017,1.164,1.166,1.162,1.168,0
9,11,2017,1.160,1.164,1.159,1.165,0
9,10,2017,1.174,1.175,1.172,1.176,0
6,10,2017,1.171,1.174,1.167,1.174,0
5,10,2017,1.176,1.171,1.170,1.178,0
4,10,2017,1.174,1.177,1.174,1.179,0
3,10,2017,1.174,1.175,1.170,1.177,0
2,10,2017,1.181,1.174,1.172,1.182,0
29,9,2017,1.178,1.182,1.177,1.183,0
28,9,2017,1.174,1.178,1.172,1.180,0
27,9,2017,1.179,1.175,1.172,1.180,0
26,9,2017,1.185,1.179,1.176,1.186,0
25,9,2017,1.192,1.185,1.183,1.194,0
22,9,2017,1.194,1.195,1.194,1.200,0
21,9,2017,1.189,1.194,1.187,1.195,0
20,9,2017,1.199,1.190,1.186,1.203,0
19,9,2017,1.195,1.200,1.195,1.201,0
18,9,2017,1.194,1.195,1.191,1.197,0
15,9,2017,1.192,1.195,1.190,1.199,0
14,9,2017,1.189,1.191,1.184,1.192,0
13,9,2017,1.196,1.189,1.189,1.200,0
12,9,2017,1.196,1.196,1.193,1.198,0
11,9,2017,1.202,1.195,1.195,1.203,0
8,9,2017,1.202,1.204,1.202,1.209,0
7,9,2017,1.192,1.203,1.191,1.206,0
6,9,2017,1.191,1.192,1.190,1.195,0
5,9,2017,1.190,1.192,1.187,1.194,0
4,9,2017,1.188,1.190,1.188,1.192,0
1,9,2017,1.192,1.186,1.185,1.198,0
31,8,2017,1.189,1.190,1.182,1.191,0
30,8,2017,1.197,1.189,1.188,1.199,0
29,8,2017,1.198,1.197,1.195,1.207,0
28,8,2017,1.195,1.198,1.192,1.199,0
25,8,2017,1.180,1.192,1.177,1.194,0
24,8,2017,1.181,1.180,1.178,1.182,0
23,8,2017,1.176,1.181,1.174,1.182,0
22,8,2017,1.181,1.176,1.175,1.182,0
21,8,2017,1.176,1.181,1.173,1.183,0
18,8,2017,1.172,1.176,1.171,1.177,0
17,8,2017,1.177,1.172,1.166,1.179,0
16,8,2017,1.174,1.177,1.168,1.178,0
15,8,2017,1.178,1.174,1.169,1.179,0
14,8,2017,1.182,1.178,1.177,1.184,0
11,8,2017,1.177,1.182,1.175,1.185,0
10,8,2017,1.176,1.178,1.170,1.179,0
9,8,2017,1.175,1.176,1.169,1.176,0
8,8,2017,1.180,1.175,1.172,1.183,0
7,8,2017,1.178,1.179,1.178,1.181,0
4,8,2017,1.187,1.178,1.173,1.189,0
3,8,2017,1.186,1.187,1.183,1.189,0
2,8,2017,1.180,1.186,1.179,1.191,0
1,8,2017,1.184,1.180,1.179,1.184,0
31,7,2017,1.175,1.184,1.172,1.184,0
28,7,2017,1.168,1.175,1.167,1.177,0
27,7,2017,1.175,1.168,1.165,1.178,0
26,7,2017,1.165,1.172,1.161,1.174,0
25,7,2017,1.164,1.165,1.163,1.171,0
24,7,2017,1.167,1.164,1.163,1.168,0
21,7,2017,1.163,1.166,1.162,1.168,0
20,7,2017,1.152,1.163,1.148,1.166,0
19,7,2017,1.156,1.151,1.151,1.156,0
18,7,2017,1.148,1.155,1.147,1.158,0
17,7,2017,1.147,1.148,1.143,1.149,0
14,7,2017,1.140,1.147,1.139,1.147,0
13,7,2017,1.141,1.140,1.137,1.146,0
12,7,2017,1.147,1.142,1.139,1.149,0
11,7,2017,1.140,1.146,1.138,1.148,0
10,7,2017,1.140,1.140,1.138,1.142,0
7,7,2017,1.142,1.140,1.138,1.144,0
6,7,2017,1.135,1.142,1.133,1.143,0
5,7,2017,1.135,1.135,1.131,1.137,0
4,7,2017,1.136,1.135,1.134,1.138,0
3,7,2017,1.142,1.137,1.135,1.143,0
30,6,2017,1.144,1.142,1.139,1.145,0
29,6,2017,1.138,1.144,1.137,1.145,0
28,6,2017,1.134,1.138,1.129,1.139,0
27,6,2017,1.118,1.135,1.118,1.135,0
26,6,2017,1.120,1.118,1.117,1.122,0
23,6,2017,1.115,1.120,1.115,1.121,0
22,6,2017,1.117,1.115,1.114,1.118,0
