day,month,year,opening_value,close_value,min_value,max_value,volume
15,6,2018,19.550,19.485,19.350,19.665,2581012
14,6,2018,19.070,19.505,19.000,19.570,1493325
13,6,2018,19.315,19.120,18.990,19.315,1044451
12,6,2018,19.195,19.285,19.075,19.385,1319183
11,6,2018,19.175,19.100,18.930,19.215,746529
8,6,2018,19.295,19.015,19.000,19.300,1065896
7,6,2018,19.115,19.280,19.020,19.285,1141806
6,6,2018,19.065,19.000,18.920,19.210,792557
5,6,2018,19.205,18.975,18.975,19.255,820141
4,6,2018,19.130,19.260,19.100,19.495,829299
1,6,2018,18.865,19.005,18.845,19.155,1504974
31,5,2018,19.120,18.845,18.660,19.150,2342392
30,5,2018,18.970,19.055,18.900,19.160,1458872
29,5,2018,19.130,18.975,18.605,19.245,1652121
28,5,2018,19.340,19.185,19.160,19.550,1055863
25,5,2018,19.960,19.355,19.105,20.010,2092210
24,5,2018,19.975,19.910,19.875,20.040,1433658
23,5,2018,20.020,19.950,19.880,20.030,2709414
22,5,2018,19.930,20.020,19.835,20.050,507645
21,5,2018,20.000,19.940,19.910,20.180,812736
18,5,2018,19.950,19.970,19.760,20.000,1235019
17,5,2018,19.675,19.920,19.650,19.920,1382632
16,5,2018,19.950,19.650,19.525,19.980,1594573
15,5,2018,19.605,19.730,19.565,19.755,742239
14,5,2018,19.550,19.610,19.525,19.675,748797
11,5,2018,19.480,19.460,19.385,19.550,843206
10,5,2018,19.560,19.460,19.355,19.580,684792
9,5,2018,19.700,19.470,19.450,19.760,1343058
8,5,2018,19.770,19.560,19.230,19.950,1398677
7,5,2018,19.680,19.670,19.585,19.740,421039
4,5,2018,19.600,19.680,19.445,19.680,620144
3,5,2018,19.600,19.635,19.570,19.695,202359
2,5,2018,19.300,19.535,19.290,19.535,166649
30,4,2018,19.375,19.290,19.250,19.470,549966
27,4,2018,19.300,19.310,19.185,19.385,533961
26,4,2018,19.070,19.275,19.050,19.285,934881
25,4,2018,18.855,19.030,18.855,19.080,693746
24,4,2018,18.910,18.910,18.770,19.110,1262010
23,4,2018,18.835,18.880,18.665,18.900,536730
20,4,2018,18.900,18.810,18.680,18.925,948608
19,4,2018,18.695,18.605,18.540,18.715,705238
18,4,2018,18.590,18.680,18.510,18.750,857809
17,4,2018,18.415,18.565,18.300,18.585,604307
16,4,2018,18.500,18.325,18.230,18.535,729131
13,4,2018,18.015,18.490,17.945,18.540,2327346
12,4,2018,17.825,18.035,17.620,18.035,1172231
11,4,2018,18.040,17.900,17.880,18.040,645786
10,4,2018,18.105,18.030,17.855,18.175,1222690
9,4,2018,18.100,18.000,17.975,18.150,468794
6,4,2018,18.040,17.990,17.885,18.095,532758
5,4,2018,18.100,18.025,17.920,18.100,699507
4,4,2018,17.900,17.925,17.740,17.985,893935
3,4,2018,17.805,17.855,17.735,18.020,689580
29,3,2018,18.120,17.885,17.830,18.145,1192930
28,3,2018,17.535,18.055,17.415,18.055,1391746
27,3,2018,17.415,17.595,17.290,17.595,490015
26,3,2018,17.215,17.220,17.130,17.320,485390
23,3,2018,17.100,17.115,17.025,17.245,736043
22,3,2018,17.230,17.195,17.100,17.390,683887
21,3,2018,17.345,17.290,17.260,17.455,489552
20,3,2018,17.320,17.305,17.230,17.405,616420
19,3,2018,17.550,17.390,17.325,17.550,672992
16,3,2018,17.500,17.570,17.500,17.735,1480613
15,3,2018,17.695,17.560,17.450,17.720,717814
14,3,2018,17.530,17.665,17.435,17.750,956203
13,3,2018,17.550,17.450,17.420,17.685,725863
12,3,2018,17.540,17.505,17.485,17.650,992077
9,3,2018,17.360,17.430,17.335,17.545,630154
8,3,2018,17.150,17.340,16.545,17.465,1908616
7,3,2018,17.275,17.375,17.235,17.445,926790
6,3,2018,17.685,17.365,17.225,17.700,867517
5,3,2018,17.215,17.575,17.150,17.625,715446
2,3,2018,17.280,17.245,17.160,17.445,1053519
1,3,2018,17.275,17.410,17.130,17.415,1247466
28,2,2018,17.550,17.300,17.260,17.780,2730780
