day,month,year,opening_value,close_value,min_value,max_value,volume
15,6,2018,9980.100,9851.000,9798.900,9985.900,377069300
14,6,2018,9862.400,9957.700,9836.500,9973.900,180248400
13,6,2018,9900.200,9899.100,9838.300,9923.900,172849800
12,6,2018,9940.600,9914.400,9901.600,9961.600,158176100
11,6,2018,9835.000,9898.300,9799.100,9915.200,199952400
8,6,2018,9762.700,9746.300,9713.200,9772.200,176047100
7,6,2018,9844.200,9829.000,9814.800,9940.600,190777600
6,6,2018,9702.700,9791.600,9654.400,9793.800,202426600
5,6,2018,9730.600,9686.400,9686.400,9812.900,183418200
4,6,2018,9716.300,9750.300,9686.800,9830.700,193668500
1,6,2018,9544.700,9632.400,9529.000,9677.500,238950800
31,5,2018,9625.100,9465.500,9400.300,9649.000,355887300
30,5,2018,9553.000,9566.200,9477.200,9618.300,283877200
29,5,2018,9668.400,9521.300,9447.600,9668.400,364026100
28,5,2018,9891.400,9764.400,9732.600,9921.400,155744000
25,5,2018,10031.000,9826.500,9722.800,10053.100,298273900
24,5,2018,10045.500,9996.000,9964.000,10092.500,155881200
23,5,2018,10101.800,10025.000,9957.800,10101.800,157919000
22,5,2018,10081.500,10138.800,10060.800,10156.400,145394700
21,5,2018,10155.200,10066.500,10055.800,10155.900,110379200
18,5,2018,10209.300,10112.400,10088.400,10221.000,249545800
17,5,2018,10120.800,10216.400,10108.500,10216.400,153622900
16,5,2018,10189.800,10111.000,10089.800,10194.200,212003400
15,5,2018,10237.900,10207.600,10159.100,10265.000,152740700
14,5,2018,10277.200,10257.800,10215.300,10291.400,108963000
11,5,2018,10245.200,10271.400,10242.100,10284.500,120333700
10,5,2018,10243.300,10246.600,10191.100,10257.100,116750700
9,5,2018,10163.700,10221.200,10138.900,10222.700,133256100
8,5,2018,10135.100,10137.800,10091.900,10180.500,79759600
7,5,2018,10114.200,10140.900,10106.300,10148.600,89759370
4,5,2018,10047.100,10104.100,10029.400,10104.100,162050000
3,5,2018,10080.700,10089.300,10062.700,10093.600,21597860
2,5,2018,9982.600,10069.600,9981.400,10071.200,31827630
30,4,2018,9924.000,9963.000,9916.100,9972.700,46175640
27,4,2018,9894.200,9925.400,9883.800,9947.300,139092700
26,4,2018,9871.500,9902.300,9856.700,9914.700,131267400
25,4,2018,9829.200,9858.000,9793.000,9858.400,161124600
24,4,2018,9922.700,9883.400,9848.400,9939.400,188820600
23,4,2018,9898.600,9922.000,9862.600,9922.000,118071400
20,4,2018,9864.400,9884.200,9847.100,9908.000,139382700
19,4,2018,9861.800,9868.000,9838.800,9902.700,120796500
18,4,2018,9814.500,9857.300,9800.300,9871.300,146904000
17,4,2018,9785.400,9803.900,9762.300,9824.400,112396600
16,4,2018,9768.700,9766.100,9747.300,9796.500,100400800
13,4,2018,9764.000,9767.300,9744.400,9858.900,137074600
12,4,2018,9733.000,9747.000,9706.100,9767.600,127527600
11,4,2018,9742.600,9735.800,9717.300,9786.300,122928200
10,4,2018,9798.500,9763.500,9738.700,9806.000,125802100
9,4,2018,9735.100,9742.800,9716.800,9790.200,99214310
6,4,2018,9688.300,9682.800,9658.900,9734.200,114953400
5,4,2018,9637.500,9740.900,9616.700,9761.800,162491700
4,4,2018,9555.500,9513.300,9417.300,9560.400,151218600
3,4,2018,9532.100,9549.600,9500.000,9577.500,129871700
29,3,2018,9595.600,9600.400,9581.700,9657.500,153270700
28,3,2018,9397.800,9555.000,9348.900,9555.000,177665900
27,3,2018,9518.200,9473.600,9441.600,9519.200,137671300
26,3,2018,9418.100,9381.000,9343.300,9460.600,159534000
23,3,2018,9399.200,9393.100,9327.600,9428.900,226994800
22,3,2018,9580.400,9487.400,9432.600,9648.300,199763700
21,3,2018,9701.500,9630.900,9592.100,9702.400,145644800
20,3,2018,9676.300,9681.600,9608.500,9693.200,129603000
19,3,2018,9733.900,9664.100,9646.000,9747.300,123279600
16,3,2018,9676.200,9761.000,9664.000,9800.800,313971200
15,3,2018,9715.300,9684.200,9647.500,9720.600,146814900
14,3,2018,9698.900,9688.500,9632.200,9737.400,159016100
13,3,2018,9737.200,9691.700,9670.700,9811.400,151206300
12,3,2018,9747.400,9727.500,9702.500,9761.300,110658800
9,3,2018,9651.000,9686.100,9631.500,9704.900,117278700
8,3,2018,9617.000,9646.200,9564.200,9666.400,144630300
7,3,2018,9561.300,9599.300,9547.100,9612.400,132064100
6,3,2018,9663.600,9586.800,9586.300,9677.000,143029000
5,3,2018,9500.000,9590.800,9494.500,9604.200,147001100
2,3,2018,9680.000,9531.100,9510.800,9680.000,208309000
1,3,2018,9795.300,9738.600,9715.200,9808.900,161713700
28,2,2018,9869.800,9840.300,9830.200,9887.200,203423600
27,2,2018,9930.300,9900.200,9863.400,9937.200,153537600
26,2,2018,9888.400,9902.400,9841.700,9915.100,156602500
23,2,2018,9882.900,9822.400,9764.900,9891.100,181436600
22,2,2018,9767.600,9876.500,9744.900,9903.100,175175500
21,2,2018,9874.500,9823.300,9777.500,9876.100,155384500
20,2,2018,9806.900,9895.300,9806.900,9901.100,153238700
19,2,2018,9865.100,9806.200,9797.200,9905.400,122821700
16,2,2018,9785.200,9832.100,9768.700,9839.700,188851400
15,2,2018,9770.700,9714.900,9674.900,9832.100,165506400
14,2,2018,9715.700,9686.200,9595.900,9743.900,178708500
13,2,2018,9788.500,9650.700,9650.700,9797.400,164804700
12,2,2018,9760.100,9771.100,9731.000,9815.200,170166600
9,2,2018,9710.900,9639.600,9581.100,9752.200,255495900
8,2,2018,9928.500,9756.300,9726.500,9959.800,228483100
7,2,2018,9950.800,9976.900,9811.700,9988.500,234404500
6,2,2018,9794.900,9810.000,9722.100,9966.900,313297200
5,2,2018,10138.400,10068.300,10058.500,10173.800,136809400
2,2,2018,10359.300,10211.200,10205.300,10369.200,203689700
1,2,2018,10518.300,10399.000,10359.400,10543.700,197535400
31,1,2018,10436.400,10451.500,10422.100,10482.700,190192400
30,1,2018,10481.900,10428.200,10416.200,10506.400,180465900
29,1,2018,10605.500,10555.600,10540.000,10605.700,150492500
26,1,2018,10598.600,10595.400,10563.200,10635.100,139534800
25,1,2018,10564.600,10595.300,10559.700,10630.500,183930300
24,1,2018,10595.300,10563.000,10563.000,10617.200,129488500
23,1,2018,10640.300,10609.500,10583.700,10643.400,168200500
22,1,2018,10503.600,10584.000,10488.300,10601.900,179083500
19,1,2018,10417.500,10479.500,10396.200,10500.100,143558400
