day,month,year,opening_value,close_value,min_value,max_value,volume
15,6,2018,75.620,73.080,73.080,75.620,0
14,6,2018,76.480,75.620,75.620,76.480,0
13,6,2018,75.650,76.480,75.650,76.480,0
12,6,2018,76.190,75.650,75.650,76.190,0
11,6,2018,76.190,76.190,76.190,76.190,0
8,6,2018,76.980,76.190,76.190,76.980,0
7,6,2018,74.960,76.980,74.960,76.980,0
6,6,2018,75.130,74.960,74.960,75.130,0
5,6,2018,75.100,75.130,75.100,75.130,0
4,6,2018,76.510,75.100,75.100,76.510,0
1,6,2018,77.250,76.510,76.510,77.250,0
31,5,2018,77.720,77.560,77.560,77.720,0
30,5,2018,75.490,77.720,75.490,77.720,0
29,5,2018,76.470,75.490,75.490,76.470,238
25,5,2018,78.830,76.470,76.470,78.830,238
24,5,2018,79.840,78.830,78.830,79.840,0
23,5,2018,79.590,79.840,79.590,79.840,0
22,5,2018,79.260,79.590,79.260,79.590,0
21,5,2018,78.490,79.260,78.490,79.260,0
18,5,2018,79.250,78.490,78.490,79.250,0
17,5,2018,79.170,79.250,79.170,79.250,0
16,5,2018,78.270,79.170,78.270,79.170,0
15,5,2018,77.990,78.270,77.990,78.270,0
14,5,2018,76.940,77.990,76.940,77.990,0
11,5,2018,77.240,76.940,76.940,77.240,0
10,5,2018,76.930,77.240,76.930,77.240,0
9,5,2018,74.570,76.930,74.570,76.930,0
8,5,2018,75.830,74.570,74.570,75.830,0
7,5,2018,74.520,75.830,74.520,75.830,0
4,5,2018,73.220,74.520,73.220,74.520,0
3,5,2018,72.940,73.220,72.940,73.220,0
2,5,2018,72.700,72.940,72.700,72.940,0
1,5,2018,74.170,72.700,72.700,74.170,0
30,4,2018,73.790,74.690,73.790,74.690,0
27,4,2018,73.880,73.790,73.790,73.880,0
26,4,2018,73.230,73.880,73.230,73.880,0
25,4,2018,73.070,73.230,73.070,73.230,0
24,4,2018,74.010,73.070,73.070,74.010,0
23,4,2018,73.350,74.010,73.350,74.010,0
19,4,2018,72.840,73.110,72.840,73.110,0
18,4,2018,70.970,72.840,70.970,72.840,0
17,4,2018,70.810,70.970,70.810,70.970,0
16,4,2018,71.930,70.810,70.810,71.930,0
13,4,2018,71.400,71.930,71.400,71.930,0
12,4,2018,71.460,71.400,71.400,71.460,0
11,4,2018,70.420,71.460,70.420,71.460,0
10,4,2018,68.180,70.420,68.180,70.420,0
9,4,2018,66.680,68.180,66.680,68.180,0
6,4,2018,67.900,66.680,66.680,67.900,0
5,4,2018,67.550,67.900,67.550,67.900,0
4,4,2018,67.670,67.550,67.550,67.670,0
3,4,2018,67.180,67.670,67.180,67.670,0
2,4,2018,68.850,67.180,67.180,68.850,0
29,3,2018,68.760,69.340,68.760,69.340,0
28,3,2018,69.460,68.760,68.760,69.460,0
27,3,2018,69.520,69.460,69.460,69.520,0
26,3,2018,69.810,69.520,69.520,69.810,0
23,3,2018,68.910,70.460,68.910,70.460,0
22,3,2018,69.470,68.910,68.910,69.470,0
21,3,2018,67.420,69.460,67.420,69.460,0
20,3,2018,66.050,67.450,66.050,67.450,0
19,3,2018,66.630,66.030,66.030,66.630,0
16,3,2018,66.630,66.210,66.210,66.630,2
15,3,2018,66.630,65.120,65.120,66.630,0
14,3,2018,66.630,64.890,64.890,66.630,4
13,3,2018,66.630,64.680,64.680,66.630,0
12,3,2018,65.270,64.790,64.790,65.270,0
9,3,2018,63.440,65.270,63.440,65.270,0
8,3,2018,64.150,63.440,63.440,64.150,0
7,3,2018,65.550,64.150,64.150,65.550,0
6,3,2018,65.300,65.550,65.300,65.550,0
5,3,2018,64.110,65.300,64.110,65.300,0
2,3,2018,63.590,64.110,63.590,64.110,0
28,2,2018,66.520,64.730,64.730,66.520,0
27,2,2018,67.290,66.520,66.520,67.290,0
26,2,2018,67.040,67.290,67.040,67.290,0
23,2,2018,66.110,67.040,66.110,67.040,0
22,2,2018,65.150,66.110,65.150,66.110,0
21,2,2018,65.050,65.150,65.050,65.150,0
20,2,2018,64.530,65.050,64.530,65.050,0
16,2,2018,64.000,64.530,64.000,64.530,0
15,2,2018,64.020,64.000,64.000,64.020,0
14,2,2018,62.440,64.020,62.440,64.020,0
